Title	URL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Notes	AddedUpdated
Los Angeles County Social Survey  (LACSS) (1992-1998)	https://www.icpsr.umich.edu/web/ICPSR/search/studies?q=%22Los+Angeles+County+Social+Survey%22	Dataset							Conducted between February and April 1993. Los Angeles County residents were asked questions concerning ethnic relations, social dominance, inequality, poverty, government, and the LA riots. Demographic information collected includes race/ethnic identity, gender, religion, age, education level, occupation, birth place, political party affiliation and ideology, marital status, income, and origin of ancestry. 	Quantitative			United States of America				English					2026-01-13
National Race and Politics Survey (1991)	https://sda.berkeley.edu/sdaweb/analysis/?dataset=natlrace	Dataset						University of California Berkeley	Nationwide random-digit telephone survey carried out by the Survey Research Center of the University of California, Berkeley. A mailback survey of willing respondents to the telephone survey was also carried out. Data from the mailback survey are also included in the data file. The telephone and mailback surveys included many questions related to racial attitudes and political orientation. There were also many questions on values, personality measures, and goals. A multi-disciplinary research team planned the survey and developed the questionnaire. The telephone interview was a computer-assisted survey that incorporated many randomized experiments, including vignettes and unobtrusive measures.	Quantitative	No		United States of America		State	Individual	English					2026-01-13
National Survey of American Life: Multi-Generational and Caribbean Cross-Section Studies, Guyana, Jamaica, [United States], 2004-2005	https://www.icpsr.umich.edu/web/ICPSR/studies/36406	Dataset							The study National Survey of American Life: Multi-Generational and Caribbean Cross-Section Studies also known as the Family Connections Across Generations and Nations is a follow-up to the National Survey of American Life (NSAL): Coping With Stress in the 21st Century, the baseline study which interviewed 6,200 adults and 1,200 adolescents in households of African Americans, non-Hispanic Whites, and Blacks of Caribbean descent.	Quantitative			Guyana; Jamaica; United States of America									2026-01-13
Political Leaders' Affiliation Database 	https://sites.google.com/view/lennart-kaplan/data	Dataset								Quantitative												2026-01-13
Portraits of American Life Study (PALS) (2006, 2012)	https://www.thearda.com/data-archive/browse-categories?cid=C-A-A-J#C-A-A-J	Dataset							This study examines influences of family life on people's satisfaction with their lives and their health and general well-being. Specifically, it investigates family and inter-generational processes, with a special emphasis on contextual and structural influences on relationships as they affect individual and family health and well-being across, and within, ethnically and nationally diverse population samples.	Quantitative			United States of America				English					2026-01-13
Mortality in Correctional Institutions (MCI) Series (Formerly Deaths In Custody Reporting Program (DCRP)) 	https://bjs.ojp.gov/taxonomy/term/mortality-correctional-institutions-mci	Dataset								Quantitative			United States of America				English					2026-01-13
Data and Code for: Pandemic Protocols, Native Nutrition: Grocery Store Access from American Indian Reservation during COVID-19	https://www.openicpsr.org/openicpsr/project/137321	Dataset							Categories of variables include sections on neighborhood, health, social support, depression, social support, mental health episodes (such as depression and mania), substance use, tobacco use, discrimination, and interviewer observations. Demographic variables include the race and ethnicity of the respondent and their spouse, racial background of parents, education, employment, volunteerism, and family income.	Quantitative			United States of America				English					2026-01-13
Covid Tracking Project	https://covidtracking.com/	Dataset							The COVID Tracking Project was a volunteer organization launched from  The Atlantic  and dedicated to collecting and publishing the data required to understand the COVID-19 outbreak in the United States.&nbsp; As of <strong>March 7, 2021</strong> no longer collecting new data. <a href="https://covidtracking.com/analysis-updates/federal-covid-data-101-how-to-find-data">Learn about available federal data</a>. 	Quantitative			United States of America				English					2026-01-13
Data and Code for: Secured Transactions Laws and Economic Development on American Indian Reservations	https://www.openicpsr.org/openicpsr/project/137242	Dataset							Compared the economic benefits of adopting selectively modified secured transactions laws relative to the benefits of adopting approximately uniform state transaction laws.	Quantitative			United States of America				English					2026-01-13
Data and Code for: Custom Elections and Local Policies: The Case of Canada's First Nations	https://www.openicpsr.org/openicpsr/project/137961	Dataset							Examined the effect of community-designed electoral codes on Canadian First Nation communities. Adopting a custom code for local elections allows for changes such as increasing term duration, creating appeal and supervisory bodies, and incorporating traditional governance elements. To reduce biases due to selective opt-in, we exploit the timing of the electoral reform and a rich set of controls. We find that bands using the custom system pay lower remunerations to their chiefs, spend more on education and training and less on band development, and have better waste-water services. These results are consistent with increased accountability and less short-termism.	Quantitative			Canada									2026-01-13
Opportunity Atlas	https://opportunityatlas.org/	Dataset							Mapping interface and data source that looks at children's outcomes in adulthood. Estimates children's earnings distributions, incarceration rates, and other outcomes in adulthood by parental income, race and gender for every census tract in the United States.  	Quantitative			United States of America				English					2026-01-13
Murray Research Archive - Diversity Archive (Race, Ethnicity, Sexual Orientation, Religion)	https://dataverse.harvard.edu/dataverse/mra	Dataset							Consists of numerous studies with racially and ethnically diverse samples. Also houses a number of studies focusing on specific ethnic groups and on ethnic relations.  Application may need to be made directly to the Murray Research Archive for permission to use the data. 	Quantitative			United States of America				English					2026-01-13
Executions in the United States, 1608-2002: The ESPY File	https://www.icpsr.umich.edu/web/NACJD/studies/8451	Dataset							Furnishes data on executions performed under civil authority in the United States between 1608 and 2002. Describes each individual executed and the circumstances surrounding the crime for which the person was convicted. Variables include age, race, name, sex, and occupation of the offender, place, jurisdiction, date, and method of execution, and the crime for which the offender was executed. Also recorded are data on whether the only evidence for the execution was official records indicating that an individual (executioner or slave owner) was compensated for an execution. 	Quantitative	No		United States of America				English					2026-01-13
Substance Use Among American Indian Youth: Epidemiology and Etiology, [United States], 2015-2020	https://www.icpsr.umich.edu/web/NAHDAP/studies/37997	Dataset							This study is a continuation of an ongoing 40+ year surveillance effort assessing the levels and patterns of substance use among American Indian (AI) adolescents attending schools on or near reservations. The current set of data is from the most recent funding cycle, 2015-2020. During this funding cycle, annual samples across various geographic regions in which reservation-based AI residents reside were obtained and school-based surveys were completed. In addition to the annual epidemiology of substance use, data pertaining to risk and protective factors, including cultural-ethnic identity, perceived discrimination, family factors, and individual risk and protective factors were obtained. 	Quantitative	No		United States of America				English					2026-01-13
Data and Code for Gaming Opportunities: American Indian Casinos, Cash Transfers, and Income Mobility on the Reservation	https://www.openicpsr.org/openicpsr/project/136562/	Dataset							Panel dataset at the individual level for primary and secondary tax filers residing on AI reservations in 1989. This initial year predates the entry of most tribal governments into the Indian gaming industry; the vast majority of tribal casinos began operations after 1989. Examined the effect of casino operations and cash distribution payments from casino revenues on the income-rank evolution of these individuals over time.1 Year-by-year income rank is calculated for each year within each filers' year-of-birth cohort, and we control for time-varying filing status, household structure, and geographic residence in all analyses. Results indicate that casino operations provide an unambiguous increase in family income rank for those residing on reservations with an operating casino relative to those on reservations without a casino. On average, found that the presence of an operating casino increases relative income rank by half a percentage point. 	Quantitative	No		United States of America				English					2026-01-13
California Health Interview Survey (2003+)	https://healthpolicy.ucla.edu/chis/Pages/default.aspx	Dataset							Nation's largest state health survey and a critical source of data on Californians as well as on the state's various&nbsp;racial and ethnic groups.	Quantitative	No		United States of America				English					2026-01-13
Fatal Encounters Database, United States, 2000-present	https://fatalencounters.org/	Dataset							Aims to document all deaths through police interaction in the United States since Jan. 1, 2000. Includes any non-police deaths that occur when police are present or are precipitated by police action or presence.	Quantitative	No		United States of America				English					2026-01-13
National Health Interview Survey  (1963+)	https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm	Dataset							Formerly titled the  Health Interview Surveys. Obtains information about the amount and distribution of illness, its effects in terms of disability and chronic impairments, and the kinds of health services people receive. Provides a continuous sampling and interviewing of the civilian, noninstitutionalized population of the United States. Supplemental data provide information on topics such as AIDS knowledge and attitudes, child health care and immunization, dental care, substance abuse, hospitalization, preventive care, nursing care, prosthetic appliances, and self-care. Supplements on Aging (SOA) conducted in 1984 and 1994 and the 1984-1990 Longitudinal Study of Aging (LSOA) were designed to furnish information on the causes and correlates of changes in the health and functioning of older Americans. Another component is the National Health Interview Survey on Disability (NHIS-D). Begun in 1994, the NHIS-D was designed to collect data that can be used to understand disability and to develop public policy on disability. Starting in 1997, the NHIS was redesigned to include a basic module, a periodic module, and a topical module. The basic module corresponds to the NHIS core questionnaire and is made up of the family core, the sample adult core, and the sample child core questions. The periodic module provides more detailed information on topics resulting from the basic module. The topical modules correspond to the supplements of the 1982-1996 NHIS and focus on public health data needs as they arise. 1987 and 1988 main surveys are not on ICPSR. They are on the <a href="https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fnchs%2Fnhis%2Fquest_data_related_1996_prior.htm">NHIS site</a> and <a href="https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fnchs%2Fnhis%2Fquest_data_related_1997_forward.htm">newer data</a> may also be present on the NHIS site. In addition, files for 1990-1994 that contain NHIS public-use data which has been enhanced to allow for the production of direct state estimates are on the <a href="https://dss.princeton.edu/studies/56">DSS Server</a>. Also see the <a href="https://www.cdc.gov/nchs/nhis/nhpi.html">Native Hawaiian and Pacific Islander National Health Interview Survey</a> and the <a href="https://www.ihis.us/ihis/index.shtml">Integrated Health Interview Survey Series</a>. 	Quantitative			United States of America				English					2026-01-13
United States Healthcare Spending by Race and Ethnicity 2002-2016	http://ghdx.healthdata.org/record/ihme-data/united-states-healthcare-spending-race-and-ethnicity-2002-2016	Dataset							Includes estimates of total health care spending in the US for 6 race/ethnicity groups by 6 types of care, sex, 19 age groups, and 7 health condition, as well as an aggregate of all health conditions, for the years 2002-2016. To produce these estimates, data on self-reported race and Hispanic ethnicity, age, sex, insurance coverage, knowledge of having key health conditions, and information about health system encounters (visits, admission, or prescriptions), diagnoses, and healthcare spending were extracted from the Medical Expenditure Panel Survey (2002-2016), the National Health Interview Survey (2002; 2016), and the Medicare Current Beneficiary Survey (2002-2012). These data were combined with healthcare spending estimates form the <a href="http://www.healthdata.org/dex" target="_blank">Disease Expenditure Project</a> (1996-2016). Estimates are reported in inflation-adjusted 2016 US dollars. 	Quantitative			United States of America				English					2026-01-13
Indigenous Nations and the Development of the U.S. Economy: Land, Resources, and Dispossession	https://www.openicpsr.org/openicpsr/project/161181	Dataset							These are the data to replicate the primary figures and tables from &quot;<a href="https://egc.yale.edu/sites/default/files/Economic%20History%20Conferences/2021-09/ADA%20single%20spaced%20ada-ns.pdf">Indigenous Nations and the Development of the U.S. Economy: Land, Resources, and Dispossession</a>. 	Quantitative			United States of America				English					2026-01-13
CDC and OMH Social Vulnerability Index (Minority Health SVI)	https://www.minorityhealth.hhs.gov/minority-health-SVI/?utm_campaign=fyi_newsletter&utm_medium=email&utm_source=govdelivery	Dataset							The Centers for Disease Control and Prevention (CDC) and U.S. Department of Health and Human Services (HHS) Office of Minority Health developed the Minority Health Social Vulnerability Index (SVI) to enhance existing resources to support the identification of racial and ethnic minority communities at greatest risk for disproportionate impact and adverse outcomes due to the COVID-19 pandemic. Given evidence on common factors contributing to social vulnerability, the MH SVI could potentially be applied to other public health emergencies.	Quantitative			United States of America				English					2026-01-13
National Survey of Tribal Court Systems, 2014	https://www.icpsr.umich.edu/web/NACJD/studies/38409	Dataset							First complete enumeration of tribal court systems operating in the United States and gathers administrative and operational information from tribal court systems, prosecutors&#39; offices, and indigent defense providers operating in the United States.&nbsp; Consists of 3 surveys specific to tribal court systems in the lower 48 states, Alaska Native villages, and the Code of Federal Regulations Courts (CFR Courts) operated by the Bureau of Indian Affairs (BIA). Due to data collection challenges and the limited number of Alaska Native villages and CFR Courts that participated in this collection, the Tribal Courts in United States, 2014, report, data file and documentation include information only on tribal court systems in the lower 48 states.    Data for the 2014 NSTCS were collected through mail, email, and telephone nonresponse follow-up. Data on the number and type of tribal court systems were obtained from all eligible federally recognized tribes. The final universe of eligible respondents in the lower 48 states included 234 tribal court systems, of which 196 (83.8%) participated in the survey. 	Quantitative			United States of America				English					2026-01-13
Doris Duke Collection of American Indian Oral History	https://digital.libraries.ou.edu/whc/duke/	Dataset							The Duke Collection of American Indian Oral History collection is part of the Western History Collections residing at the University of Oklahoma. It provides online access to typescripts of interviews (1967 -1972) conducted with hundreds of Indians in Oklahoma regarding the histories and cultures of their respective nations and tribes. Related are accounts of Indian ceremonies, customs, social conditions, philosophies, and standards of living. Members of every tribe resident in Oklahoma were interviewed. The collection includes the original tapes on which the interviews were recorded, as well as microfiche copies of the typescripts. The digital representation of the typescripts are organized by tribe but may be searched by interviewee, by interviewer, by tape number, or by keyword searching of the full-text of the transcript. 	Quantitative			United States of America				English					2026-01-13
Data on Racialized Populations 	https://learn.scholarsportal.info/featured/data-on-racialized-populations/	Dataset							Guide consisting of a curated list of datasets that include ethnicity and race variables which can be used to facilitate anti-racism research in Canada. Although not comprehensive, the intention is to provide a starting point for researchers investigating topics about anti-racism and the impact of racism. 	Quantitative			Canada									2026-01-13
United States Mortality Rates and Life Expectancy by County, Race, and Ethnicity 1990-2019	https://ghdx.healthdata.org/record/ihme-data/united-states-life-expectancy-by-state-white-black-hispanic-race-ethnicity-1990-2019	Dataset							Estimates were produced for mortality rates, life expectancy, and population at the state level in the United States, and by racial/ethnic group, for each year between 1990-2019. These estimates were produced using population and deaths data from the National Center for Health Statistics. 	Quantitative			United States of America				English					2026-01-13
Prejudice and Politics Series 	https://www.icpsr.umich.edu/web/ICPSR/series/1800	Dataset							Unique sequence of studies of the politics of intolerance. Beginning with the Bay Area Race and Politics study, the P&amp;P series went beyond simple question wording experiments (e.g., Form A vs. Form B) and pioneered the use of computer-assisted interviewing to incorporate more complex randomized experiments into studies of public opinion.&nbsp; Each subsequent study introduced multiple original designs for survey experiments and counter-arguments. The P&amp;P series provides a map of the development of theories of prejudice and politics, starting with race in America, then expanding to consider Muslims and multiculturalism in Western Europe. 	Quantitative			Italy; Netherlands; United States of America									2026-01-13
Reflective Democracy Campaign - Datasets	https://wholeads.us/datasets/	Dataset							The Reflective Democracy Campaign investigates and confronts the demographics of power in the United States. Our research and analysis explore how far we've come and how far we have to go in achieving a democracy whose leaders reflect all of America, and we fund and spearhead innovative models for transforming a political system tha's been hard-wired to exclude women and people of color. 	Quantitative			United States of America				English					2026-01-13
Casino City's Indian Gaming Report  	https://www.casinocitypress.com/gamingalmanac/indiangamingreport/	Dataset							Covers the Indian Gaming Segment of the U.S. Gaming Industry with the Latest Nationwide and State Facts.	Quantitative			United States of America				English					2026-01-13
Effects of Roads on Indigenous People's Well-Being and Use of Natural Resources. A Natural Experiment in Lowland Bolivia, 2010-2013	https://www.icpsr.umich.edu/web/ICPSR/studies/38556	Dataset							This study looks to improve estimates of the effects of the road on the well-being of indigenous peoples and on their use of natural resources. The investigators use a natural experiment based on the construction of a road through a national park inhabited by three native Amazonian groups in Bolivia. The research lasted three years (1/2010-12/2012) and took place in villages in Parque Nacional Isiboro-Secure inhabited by native Amazonians (Tsimane, Yuracare, and Moxenos). The study includes a baseline or pre-intervention study during 2010 (before the road was built) and 2 annual follow-up surveys (2011 and 2012) immediately after the construction of the road (2011).  The variables in the data indicate measures of well-being and natural resource extraction. The measures of well-being include: (a) village income and status inequality, (b) intra-household disparities, and (c) individual cash income, (d) social capital, and (e) emotions. The measures of use of natural resources include the extraction of natural resources used for sale and for own consumption. The units of analysis are villages, households, and individuals.	Quantitative			Bolivia 									2026-01-13
Income and Inequality in the Aztec Empire on the Eve of the Spanish Conquest	https://www.openicpsr.org/openicpsr/project/186521	Dataset							Today, Latin American countries are characterized by relatively high levels of economic inequality. This circumstance has often been considered a long-run consequence of the Conquest and of the highly extractive institutions imposed by the colonizers. We show that, in the case of the Aztec Empire, high inequality predates the Spanish Conquest. We reach this conclusion by estimating levels of income inequality and of imperial extraction across the Empire. We find that the richest 1% earned 41.8% of the total income, while the income share of the poorest 50% was just 23.3%. We also argue that those provinces which had resisted the Aztec expansion suffered from relatively harsh conditions, including higher taxes, in the context of the imperial system &ndash; and were the first to rebel, allying themselves with the Spaniards. After the Spanish-Aztec War, the colonial elites inherited pre-existing extractive institutions, and added additional layers of social and economic inequality. 	Quantitative			Mexico									2026-01-13
 First Nations Information Governance Centre	https://fnigc.ca/	Dataset							The First Nations Information Governance Centre envisions that every First Nation will achieve data sovereignty in alignment with its distinct world view.&quot;&nbsp; &quot;With First Nations, we assert data sovereignty and support the development of information governance and management at the community level through regional and national partnerships. We adhere to free, prior and informed consent, respect nation-to-nation relationships, and recognize the distinct customs of nations. 	Quantitative			Canada									2026-01-13
Plan de Vidas, Communal Management Plans, of Indigenous Communities in Peruvian Amazonia, 2020-2023	https://doi.org/10.5255/UKDA-SN-856715	Dataset							The attached data is in the form Planes de Vidas (communal management plans) of Indigenous communities on the Inuya and Puruacutes Rivers, in Peruvian Amazonia. These were produced using collaborative approaches to collect and record data from the communities. As well as offering key data on specific communities, the Planes de Vidas also outline issues each community currently faces as well as community members&rsquo; own agreed plans and aspirations for the future. The ones included here were produced as part of a project, &ldquo;The Making of an Integrated Landscape of Conservation&rdquo; centred on supporting Indigenous communities within Peru&rsquo;s designated the Puruacutes-Manuacute; conservation corridor to evaluate the social, environmental and development challenges they face and then plan pathways to their desired futures. The Planes de Vidas include information on the natural resources, history, economics, politics, and social and cultural aspects of the communities. As well as collecting data from physical observations and measurements, socio-cultural and historical data was collected in collaborative, communal workshops and discussions with a range of representative participants from all parts of the communities. The specific Comunidades Nativas included are San Juan de Inuya, Bola de Oro, Catay, Renacimiento Ash&aacute;ninca, San Marcos and Sinai. N.b. all documents are in Spanish.  Focused on the Purus-Manu conservation corridor in Peruvian Amazonia and innovating around Plan de Vida methodologies, the project centres on supporting Indigenous communities to evaluate the social, environmental and development challenges they face and then plan pathways to their desired futures. Drawing on the project team&rsquo;s wider collaborative network of relevant, Indigenous federations and institutions and governmental and non-governmental organisations the project then seeks to engage with the challenges raised by the research to inform relevant actions, interventions and guide policy changes. 	Quantitative			Peru									2026-01-13
Tribal Justice, Tribal Court: Strengthening Tribal Justice Systems Using Restorative Approaches, South Dakota, 2022	https://www.icpsr.umich.edu/web/ICPSR/studies/38825	Dataset							The purpose of this project was to develop a culturally relevant crime seriousness index specific to the Sisseton-Wahpeton Oyate (SWO) tribe while working closely with community partners. Informal background interviews with key stakeholders provided a foundation on traditional crime management by the community. These interviews informed the creation of an SWO-specific adaptation of the Sellin-Wolfgang crime seriousness index following an online survey conducted in 2022 with SWO community members (n=44 completed surveys).	Quantitative			United States of America				English					2026-01-13
Tiller’s Guide to Indian Country: Economic Profiles of American Indian Reservations (1996, 2005, 2015)	https://search.worldcat.org/title/920519599								This reference edition tells the collective story of the little-known economic success attained by tribal enterprises owned by the 568 Indian tribes and Alaskan Native villages in thirty-three states. It profiles 568 tribe's history and culture, with detailed information about their communities, natural resources, enterprises, and environmental concerns, as well as their contact information	Mixed			United States of America				English				Indigenous Place Name column not found here	2026-01-13
The Residential Schools Land Memory Atlas	https://residentialschoolsatlas.org/index.html?module=module.residential_schools	Dataset							The Residential Schools Land Memory Atlas is the digital aspect of a five-year project funded by the Social Sciences and Humanities Research Council (SSHRC). The project emerged from collaborative research in partnership with the Shingwauk Residential Schools Centre (SRSC) to create the cybercartographic Lake Huron Treaty Atlas (LHTA; lhta.ca)	Mixed			Canada				English					2026-01-15
Indigenous Geographical Names in Canada	https://www.arcgis.com/home/item.html?id=beab36e26cba482f9430b017693fb46e	Dataset		2022					In Canada, close to 30,000 official place names are of Indigenous origin, and efforts are ongoing to restore traditional names to reflect Indigenous cultures. The Indigenous Geographical Names dataset includes the names of populated places and administrative areas, water features such as lakes, rivers and bays, and terrain features like mountains, capes and valleys. This dataset was extracted from the Canadian Geographical Names Database, Canada's authoritative national database of place names and contains over 60 Indigenous languages with origins in First Nations, Inuit and Métis world-views. As more Indigenous names in the Canadian Geographical Names Database are identified and as more Indigenous names are officially recognized and adopted, the dataset will continue to grow and is updated weekly to reflect any changes.				Canada									2026-01-15
Indigenous Lands of Canada	https://www.arcgis.com/home/item.html?id=5d20937d013f429f802d05a5790e87c5	Dataset		2025					The Indigenous Lands dataset depicts the administrative boundaries of lands where the title has been vested in specific Aboriginal Groups of Canada or were set aside for their exclusive benefit. The dataset includes but is not limited to; Indian Reserves, Cree-Naskapi Category 1A and 1A-N Lands, Yukon First Nation Settlement Lands, Kanesatake Mohawk Interim Land Base, the Inuit Owned Lands, Tlicho Lands, Inuvialuit Lands, Gwich’in Lands, and Sahtu Lands. The dataset is maintained monthly by the Surveyor General Branch (SGB).				Canada									2026-01-15
First Nations geographic location dataset	https://www.arcgis.com/home/item.html?id=5d20937d013f429f802d05a5790e87c5	Dataset		2025					The First Nations geographic location dataset contains the geographic location of each First Nation’s administrative office address as it is registered in the Indigenous Services Canada (ISC) Band Governance Management System (BGMS). This dataset is the official source of First Nation geographic locations for Crown-Indigenous Relations and Northern Affairs Canada (CIRNAC) and Indigenous Services Canada (ISC).				Canada									2026-01-15
Tribal Council Locations in Canada	https://www.arcgis.com/home/item.html?id=ed0b2c27ea384b7a934b9dd08b796623	Dataset		2025					The tribal council geographic location dataset is the official source for Tribal Councils geographic map location for Indigenous Services Canada (ISC) and Crown-Indigenous Relations and Northern Affairs Canada (CIRNAC). Each tribal council point represents an address as it is registered in Indigenous and Northern Affairs Canada (INAC) Indian Government Support System (IGSS). A connection with the IGSS is in place to ensure that any update to the system is reflected in the attributes data associated with the geography of each tribal council.				Canada									2026-01-15
Remote Communities Energy Database	https://www.arcgis.com/home/item.html?id=2591d6a48b4841dbbda33ec9a56990a5	Dataset		2025					The Remote Communities Energy Database is the only national data source on energy sources in remote communities that is publicly available in one centralized location. The database is a tool designed to collect and display pertinent information about the generation and use of electricity and other energy sources for all remote communities in Canada. This data is collected from several sources, including Indigenous and Northern Affairs Canada (INAC), Natural Resources Canada (NRCan) and various stakeholders involved in these communities.				Canada									2026-01-15
Indigenous Community Infrastructure	https://www.arcgis.com/home/item.html?id=a3777c77ee884194940be9a930f77243	Dataset		2025					The Indigenous Community Infrastructure dataset presents infrastructure projects across Canada that are supported by Indigenous Services Canada (ISC) supported by targeted infrastructure funding. The communities linked to these projects on the map are First Nations, Tribal Councils or other Indigenous organizations that have received project funds and/or are intended users of these projects. The dataset is used to showcase where and how investments are carried out and demonstrate the government’s commitment to addressing socio-economic gaps between Indigenous and non-Indigenous communities in Canada and improving access to high-quality services. The dataset is updated quarterly to reflect new or changes to existing projects.				Canada									2026-01-15
Indigenous Mining Agreements dataset	https://www.arcgis.com/home/item.html?id=da28c4c37d7248ecb371aa645b0515a3	Dataset		2025					The Indigenous Mining Agreements dataset shows the location of and provides information on the Indigenous community's signatory to agreements, the types of agreements negotiated, exploration projects, and producing mines. The dataset is maintained and updated on an annual basis.  The following three datasets are included in the Crown-Indigenous treaties and agreements geospatial dataset collection. They represent the geographic boundaries of the solemn agreements between the Crown and Indigenous peoples that set out promises, obligations and benefits for parties.				Canada									2026-01-15
Modern Treaties (formerly known as the Post-1975 Treaties) dataset	https://www.arcgis.com/home/item.html?id=62d404d95e6b4b4194ad67343052d726	Dataset		2025					The Modern Treaties (formerly known as the Post-1975 Treaties) dataset contains geographic boundaries as well as basic attribute data representing signed agreements that were negotiated between Indigenous groups, the Government of Canada and provincial and territorial governments after 1975. These boundaries represent the result of a negotiated First Nation’s claimed area. These boundaries are usually not surveyed but help to delineate the geographic extent of the rights of Indigenous beneficiaries defined within the agreement.				Canada									2026-01-15
Historic Treaties in Canada	https://www.arcgis.com/home/item.html?id=8650105f00714bc69116ac7354bc10b2	Dataset		2025					The Historic Treaties (formerly known as the Pre-1975 Treaties) dataset contains geographic boundaries as well as basic attribute data representing signed treaties that were negotiated between Indigenous peoples and the Crown between 1725 and 1929. These boundaries represent the historic treaties signed after 1763, which designated large areas of First Nations land, to the Crown (transferring their Aboriginal title to the Crown) in exchange for reserve lands and other benefits.				Canada									2026-01-15
Indigenous Agreements in Canada	https://www.arcgis.com/home/item.html?id=b162c58566b34c8d86481c33090ce565	Dataset		2025					The Indigenous agreements dataset contains geographic boundaries as well as basic attribute data representing established protocols in place for consultation processes, self-government agreements and other signed agreements between Indigenous groups and the Crown. These arrangements address many Indigenous and northern affairs related matters, such as education, economic development, child and family services, health, and housing, that have not been addressed by treaties or through other means.				Canada									2026-01-15